question_id,technique,rank,store_score,cosine_sim,chunk_len,source_file,expected_source,is_expected,latency_ms,preview
q1,Token,1,0.685765,0.694209,821,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,1,10.956,Potato Chips because they may contain undeclared soy allergen. People who have an allergy or severe sensitivity to soy run the risk of serious or life-threateni
q1,Token,2,0.651742,0.692426,747,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,1,10.956,top right corner of the bag. No illnesses or injuries have been reported to date in connection with this problem. The issue was identified through company revie
q1,Token,3,0.536454,0.632993,795,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,1,10.956,"More Recalls, Market Withdrawals, & Safety Alerts Summary Company Announcement Date: September 16, 2026 FDA Publish Date: September 18, 2026 Product Type: Food "
q1,Token,4,0.534635,0.544407,567,fda_advises_consumers_and_retailers_not_eat_serve_or_sell_certain_impe.txt,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,0,10.956,Additional Product Images Product: Imperial Nougat Co. manufactured the following cookies and candies that contain allergens not listed on the label: IMPERIAL C
q1,Token,5,0.490395,0.503986,739,freshpoint_issues_recall_due_improperly_declared_allergen_egg_chicken_.txt,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,0,10.956,"to 9/17/2026 To date, no illnesses related to this product have been reported. The issue was identified during an internal label review. While egg is included i"
q2,Token,1,0.681765,0.697227,847,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,1,9.579,severe sensitivity to eggs run the risk of a serious or life-threatening allergic reaction if they consume this product. The cheese was sold in the Specialty ch
q2,Token,2,0.555746,0.553752,620,fda_issues_warning_about_imported_cookware_may_leach_lead_august_2025.txt,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,0,9.579,"Table 10/15/25 Best Kitchen Supply 413 Morse St., Ne, Washington, D.C. Win Chong Trading Corp 90 Scholes St., Brooklyn NY Recall initiated on 10/17/25. Recall A"
q2,Token,3,0.549288,0.561952,256,fda_calls_food_industry_leaders_strengthen_recall_compliance_and_ensur.txt,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,0,9.579,"a recall, including retailers and distributors, to ensure that affected products are promptly removed from commerce and do not reach consumers. Sincerely, /S/ D"
q2,Token,4,0.524892,0.666859,844,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,1,9.579,"More Recalls, Market Withdrawals, & Safety Alerts Summary Company Announcement Date: September 11, 2026 FDA Publish Date: September 11, 2026 Product Type: Food "
q2,Token,5,0.521683,0.509057,872,so_delicious_dairy_freer_issues_voluntary_recall_salted_caramel_cluste.txt,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,0,9.579,"best-by dates on and before April 3, 2028. The recalled product was distributed to retail stores within the United States. The issue was identified through cons"
q3,Token,1,0.586912,0.545539,815,freshpoint_issues_recall_due_improperly_declared_allergen_egg_chicken_.txt,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,0,9.33,due to an improperly declared allergen (eggs). People who have an allergy or severe sensitivity to eggs run the risk of serious or life-threatening allergic rea
q3,Token,2,0.583319,0.478803,872,public_health_alert_concerning_possible_listeria_contamination_felix_c.txt,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,0,9.33,"Custom Smoking of Monroe, Washington, is a processor of a variety of ready-to-eat salmon, squid jerky, and frozen, hot smoked and cold smoked seafood. The firm "
q3,Token,3,0.575998,0.518351,862,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,1,9.33,or # L6080C with an expiration date of 09/19/2027 or 09/20/2027 both stamped on the back of packaging. No illnesses have been reported to date. The recall was t
q3,Token,4,0.575836,0.581037,911,food_safety_tips_consumers_retailers_during_outbreak_foodborne_illness.txt,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,0,9.33,"Produce stored at cold temperatures can be contaminated. For example, Listeria monocytogenes can grow even at refrigerated temperatures. Listeria monocytogenes "
q3,Token,5,0.57151,0.531831,847,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,0,9.33,severe sensitivity to eggs run the risk of a serious or life-threatening allergic reaction if they consume this product. The cheese was sold in the Specialty ch
